French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
matin,morning
tellement,so much
point,point
venu,came
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
